,league,season,historical_training_year,features,ll,acc,prec_A,prec_D,prec_H,rec_A,rec_D,rec_H,f1_A,f1_D,f1_H,bet_all,bet_lte_19,bet_lte_4,bet_btw_19_4,bet_btw_19_5,bet_btw_15_4,bet_btw_15_5
0,D1,2016,9,best_features_NB,1.57274829821,0.461538461538,0.425287356322,0.208333333333,0.584,0.528571428571,0.15625,0.579365079365,0.471337579618,0.178571428571,0.581673306773,-0.0261538461538,-0.1342,-0.0270916334661,0.0438410596026,0.0545569620253,-0.00285714285714,0.0067619047619
1,D1,2016,10,best_features_NB,1.49263988352,0.473076923077,0.45,0.211538461538,0.59375,0.514285714286,0.171875,0.603174603175,0.48,0.189655172414,0.59842519685,0.00330769230769,-0.102941176471,-0.0226877470356,0.0315231788079,0.0787261146497,-0.00252427184466,0.0333962264151
2,D1,2016,11,best_features_NB,1.47592442061,0.473076923077,0.456790123457,0.21568627451,0.5859375,0.528571428571,0.171875,0.595238095238,0.490066225166,0.191304347826,0.590551181102,0.0122692307692,-0.111650485437,-0.0290909090909,0.0276,0.0935668789809,-0.00556097560976,0.0443867924528
3,E0,2016,9,best_features_NB,1.46013733095,0.53605015674,0.456692913386,0.205882352941,0.670886075949,0.666666666667,0.0972222222222,0.6625,0.542056074766,0.132075471698,0.666666666667,-0.00965517241379,0.0532911392405,-0.0285382059801,-0.126126760563,-0.113548387097,-0.00763888888889,-0.00585152838428
4,E0,2016,10,best_features_NB,1.46479749964,0.529780564263,0.4609375,0.176470588235,0.662420382166,0.67816091954,0.0833333333333,0.65,0.548837209302,0.11320754717,0.656151419558,-0.0275548589342,0.0441772151899,-0.0305980066445,-0.120352112676,-0.113974358974,-0.0084331797235,-0.0109090909091
5,E0,2016,11,best_features_NB,1.46009658344,0.529780564263,0.458015267176,0.161290322581,0.662420382166,0.689655172414,0.0694444444444,0.65,0.550458715596,0.0970873786408,0.656151419558,-0.023855799373,0.0376100628931,-0.0305980066445,-0.114113475177,-0.129285714286,-0.0084331797235,-0.0245652173913
6,E1,2016,9,best_features_NB,1.16250782718,0.479166666667,0.397790055249,0.333333333333,0.5625,0.5625,0.0918367346939,0.611650485437,0.466019417476,0.144,0.586046511628,0.0658796296296,0.0775409836066,0.0502112676056,0.0335430463576,0.0558441558442,0.0422864321608,0.0591584158416
7,E1,2016,10,best_features_NB,1.16569162635,0.479166666667,0.387978142077,0.363636363636,0.563876651982,0.5546875,0.0816326530612,0.621359223301,0.456591639871,0.133333333333,0.591224018476,0.0610648148148,0.0817073170732,0.0477882352941,0.031096345515,0.0500974025974,0.0396725440806,0.0540099009901
8,E1,2016,11,best_features_NB,1.17023294558,0.465277777778,0.377659574468,0.263157894737,0.555555555556,0.5546875,0.0510204081633,0.606796116505,0.449367088608,0.0854700854701,0.580046403712,0.0193518518519,0.0817073170732,0.00538823529412,-0.0287707641196,-0.00840909090909,-0.00571788413098,0.00940594059406
9,E2,2016,9,best_features_NB,1.35827758408,0.44212962963,0.37037037037,0.16,0.536697247706,0.578512396694,0.036036036036,0.585,0.451612903226,0.0588235294118,0.55980861244,-0.05875,0.0819658119658,-0.0405250596659,-0.0790235690236,-0.0969805194805,-0.0407360406091,-0.0554320987654
10,E2,2016,10,best_features_NB,1.33808677866,0.439814814815,0.369230769231,0.0952380952381,0.537037037037,0.595041322314,0.018018018018,0.58,0.455696202532,0.030303030303,0.557692307692,-0.0644675925926,0.0819658119658,-0.0568181818182,-0.102162162162,-0.119348534202,-0.0580661577608,-0.0723267326733
11,E2,2016,11,best_features_NB,1.32507334735,0.444444444444,0.366492146597,0.25,0.529411764706,0.578512396694,0.045045045045,0.585,0.448717948718,0.0763358778626,0.555819477435,-0.0490740740741,0.0819658119658,-0.0305489260143,-0.0649494949495,-0.0834090909091,-0.0301269035533,-0.0451111111111
12,F1,2016,9,best_features_NB,1.35293626987,0.466019417476,0.415254237288,0.166666666667,0.55900621118,0.590361445783,0.0625,0.616438356164,0.487562189055,0.0909090909091,0.586319218241,-0.0603883495146,0.100555555556,-0.0749152542373,-0.177621621622,-0.139187817259,-0.0996734693878,-0.0738521400778
13,F1,2016,10,best_features_NB,1.33939969676,0.46925566343,0.405660377358,0.216216216216,0.566265060241,0.518072289157,0.1,0.643835616438,0.455026455026,0.136752136752,0.602564102564,-0.0705825242718,0.116666666667,-0.0673825503356,-0.17329787234,-0.168232323232,-0.0903225806452,-0.0896511627907
14,F1,2016,11,best_features_NB,1.33799984357,0.482200647249,0.393162393162,0.333333333333,0.569696969697,0.55421686747,0.1125,0.643835616438,0.46,0.168224299065,0.604501607717,-0.0253721682848,0.116666666667,-0.0145890410959,-0.0920879120879,-0.0930964467005,-0.0271900826446,-0.0317509727626
15,I1,2016,9,best_features_NB,1.45653645387,0.542056074766,0.507462686567,0.292682926829,0.643835616438,0.673267326733,0.176470588235,0.618421052632,0.578723404255,0.220183486239,0.630872483221,0.0255140186916,0.0471341463415,0.0200328947368,-0.0111594202899,0.0258219178082,0.00681614349776,0.0295670995671
16,I1,2016,10,best_features_NB,1.45478508648,0.545171339564,0.507462686567,0.302325581395,0.652777777778,0.673267326733,0.191176470588,0.618421052632,0.578723404255,0.234234234234,0.635135135135,0.0358255451713,0.0600617283951,0.0343234323432,0.00553956834532,0.0413605442177,0.0262612612613,0.0484347826087
17,I1,2016,11,best_features_NB,1.45574448858,0.548286604361,0.515151515152,0.272727272727,0.662068965517,0.673267326733,0.176470588235,0.631578947368,0.583690987124,0.214285714286,0.646464646465,0.0316510903427,0.0677575757576,0.0131818181818,-0.0497872340426,0.00197278911565,-0.00537777777778,0.0264069264069
18,SP1,2016,9,best_features_NB,1.35313520276,0.551724137931,0.604938271605,0.32183908046,0.655629139073,0.538461538462,0.383561643836,0.638709677419,0.56976744186,0.35,0.647058823529,0.115830721003,0.0274452554745,0.144166666667,0.24226993865,0.215762711864,0.201415525114,0.183733905579
19,SP1,2016,10,best_features_NB,1.34368461988,0.545454545455,0.588235294118,0.317073170732,0.644736842105,0.549450549451,0.356164383562,0.632258064516,0.568181818182,0.335483870968,0.638436482085,0.0961128526646,0.02,0.126956521739,0.218633540373,0.200574712644,0.183502304147,0.171826086957
20,SP1,2016,11,best_features_NB,1.33540558367,0.520376175549,0.567901234568,0.268817204301,0.655172413793,0.505494505495,0.342465753425,0.612903225806,0.53488372093,0.301204819277,0.633333333333,0.0307836990596,0.00948529411765,0.0608053691275,0.103888888889,0.0882386363636,0.0925,0.0812173913043
21,SC0,2016,9,best_features_NB,1.38658821173,0.548387096774,0.571428571429,0.296296296296,0.613333333333,0.75,0.186046511628,0.582278481013,0.648648648649,0.228571428571,0.597402597403,0.0552688172043,0.0331111111111,0.0498351648352,0.0661956521739,0.0435106382979,0.0385925925926,0.0234306569343
22,SC0,2016,10,best_features_NB,1.38501944793,0.532258064516,0.566265060241,0.259259259259,0.592105263158,0.734375,0.162790697674,0.569620253165,0.639455782313,0.2,0.58064516129,0.00924731182796,0.0217582417582,0.0028021978022,-0.0161538461538,-0.037311827957,-0.0248148148148,-0.0390510948905
23,SC0,2016,11,best_features_NB,1.37964172157,0.537634408602,0.576470588235,0.259259259259,0.594594594595,0.765625,0.162790697674,0.556962025316,0.657718120805,0.2,0.575163398693,0.0327419354839,0.0121111111111,0.0268131868132,0.0411956521739,0.0190425531915,0.00755555555556,-0.00715328467153
