,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_max_features,param_max_samples,param_n_estimators,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,split5_test_score,split5_train_score,split6_test_score,split6_train_score,split7_test_score,split7_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,19.2557256818,0.823491454124,-13.624540581,-8.3598921279,0.6,0.1,200,"{'max_features': 0.6, 'max_samples': 0.1, 'n_estimators': 200}",12,-13.7856356506,-8.26723213578,-12.8865693138,-8.31004450537,-13.4609807725,-8.18159723641,-14.3850191828,-8.18159723641,-14.0603515852,-8.53126939276,-13.7856368069,-8.55981119276,-13.7357013324,-8.42066091401,-12.8959031509,-8.42692440972,0.413069211414,0.0364426276819,0.491754021142,0.137918802131
1,31.2625921369,1.18516251445,-13.5340012599,-8.25062230318,0.6,0.1,300,"{'max_features': 0.6, 'max_samples': 0.1, 'n_estimators': 300}",6,-13.6607654545,-8.08169185007,-12.9864674364,-8.39567932213,-13.5109295448,-8.18516628306,-14.1352770562,-8.08882779568,-13.985429005,-8.26723114454,-13.6857415751,-8.46704133902,-13.3610872752,-8.29577699209,-12.9458874869,-8.22356369884,0.505094190405,0.107029173207,0.400059707593,0.127438787583
2,38.8068007231,1.61758753657,-13.4559496101,-8.23322750012,0.6,0.1,400,"{'max_features': 0.6, 'max_samples': 0.1, 'n_estimators': 400}",1,-13.4110233279,-8.10666782494,-12.8116490463,-8.29577360537,-13.5359021964,-8.14234846167,-14.135279947,-8.12450777159,-13.7356880347,-8.27793539338,-13.4859482207,-8.36713479623,-13.4360063864,-8.3385925006,-13.0958393379,-8.21285964715,2.67780140964,0.217683473841,0.369841095801,0.0945085565551
3,56.2220053971,2.23827773333,-13.5745861374,-8.12440091016,0.6,0.1,500,"{'max_features': 0.6, 'max_samples': 0.1, 'n_estimators': 500}",9,-13.5858422962,-8.00319289632,-13.0114383536,-8.15661804002,-13.6108241984,-8.08169209787,-14.1852258284,-7.96037606616,-14.0104016566,-8.07098669259,-13.5858422962,-8.35286174855,-13.4609807725,-8.17089207894,-13.1458236739,-8.19858766084,6.28529476024,0.379562456692,0.367121570617,0.115742199648
4,28.64129439,0.858557760715,-13.5621034532,-8.40181820069,0.7,0.1,200,"{'max_features': 0.7, 'max_samples': 0.1, 'n_estimators': 200}",8,-13.4609749909,-8.40282022393,-13.06139522,-8.35286579609,-13.6607695017,-8.24939276735,-14.5598352603,-8.38854651543,-14.484919618,-8.45634080731,-12.961506348,-8.52770059392,-13.2611885745,-8.39211465344,-13.0458648377,-8.44476424808,0.896817057523,0.206652364001,0.595353011493,0.0762926976348
5,35.7971392274,1.1625854075,-13.5152716683,-8.27693708109,0.7,0.1,300,"{'max_features': 0.7, 'max_samples': 0.1, 'n_estimators': 300}",3,-13.2861554445,-8.28507365189,-13.1113422578,-8.34929608862,-13.6607689235,-8.09953435741,-14.659733961,-8.33145729841,-14.0603585231,-8.17446269505,-13.1363160657,-8.37784094494,-13.0614010017,-8.30291202908,-13.1458300383,-8.2949195833,2.79740478367,0.207024396764,0.539669022409,0.0876262432605
6,46.2215222418,1.53037598729,-13.5277587614,-8.24527159658,0.7,0.1,400,"{'max_features': 0.7, 'max_samples': 0.1, 'n_estimators': 400}",5,-13.336101904,-8.1994380091,-12.8616036001,-8.39211250576,-13.7356903473,-8.15662357443,-14.5098893789,-8.26009536413,-14.1602514423,-8.18873466889,-13.411027375,-8.30291136826,-13.2861675859,-8.30291235949,-12.9208996583,-8.15934492257,2.57279453654,0.275628683606,0.539510518183,0.0782350661432
7,64.3958326876,2.37064695358,-13.5464910995,-8.17435568909,0.7,0.1,500,"{'max_features': 0.7, 'max_samples': 0.1, 'n_estimators': 500}",7,-13.5358993056,-8.17802959402,-13.0613957982,-8.29934356065,-13.5608702227,-8.01033107222,-14.6347589968,-8.21727779054,-13.885540133,-8.11023612816,-13.3860518326,-8.23868529699,-13.4609842415,-8.18873318203,-12.8459217078,-8.15220888811,3.80027889127,0.442821090087,0.507271931217,0.081646078434
8,26.3198866248,1.02647313476,-13.5808357191,-8.38932974381,0.8,0.1,200,"{'max_features': 0.8, 'max_samples': 0.1, 'n_estimators': 200}",10,-13.560874848,-8.32075321478,-13.1113376325,-8.35643252986,-13.7606618426,-8.3100507006,-14.1602537549,-8.27436882482,-14.0353887623,-8.41352405976,-13.6607712361,-8.47061426801,-13.4360167933,-8.47418298425,-12.9209037083,-8.49471136841,0.347976215333,0.140642617887,0.396575865446,0.0796743721507
9,38.79445225,1.4090256393,-13.6151779535,-8.33045934429,0.8,0.1,300,"{'max_features': 0.8, 'max_samples': 0.1, 'n_estimators': 300}",11,-13.6108213076,-8.28150468784,-13.2362101412,-8.42779471195,-13.760662999,-8.26723494428,-14.1852287192,-8.28864278114,-13.8106221781,-8.26366548462,-13.6357962719,-8.42779619881,-13.4360150588,-8.37427635885,-13.2457998675,-8.31275958684,0.302257486397,0.190900380046,0.295145464544,0.0649863226114
10,51.4959957004,1.89942982793,-13.5246374037,-8.31038797544,0.8,0.1,400,"{'max_features': 0.8, 'max_samples': 0.1, 'n_estimators': 400}",4,-13.6607666108,-8.24225459145,-13.0613917511,-8.39925051646,-13.4110256405,-8.12451000187,-14.0603596794,-8.24939260214,-14.0353870278,-8.31004954416,-13.5109237631,-8.47774897458,-13.3610919005,-8.35643575138,-13.0958428093,-8.32346182145,0.464069155357,0.261894584219,0.354375634244,0.10069192341
11,68.4158255458,2.50802904367,-13.4934154428,-8.27783015457,0.8,0.1,500,"{'max_features': 0.8, 'max_samples': 0.1, 'n_estimators': 500}",2,-13.6607660327,-8.26723023591,-13.3111315651,-8.3849779644,-13.3860483636,-8.14591858216,-14.2851256855,-8.23868818809,-13.9105156754,-8.29577641387,-13.2112345988,-8.40281890228,-13.2112438494,-8.27436907263,-12.9708799442,-8.21286187721,3.16667686272,0.292014274373,0.404003373721,0.0796106771514
